Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2016-08-21,Mildura,5.4,18.0,0.0,3.6,9.3,NNW,31.0,NW,NW,11.0,20.0,76.0,39.0,1019.5,1015.4,1.0,7.0,10.7,16.7,No,No
2013-10-10,Cairns,23.3,31.0,0.0,8.2,10.3,ESE,44.0,SE,ESE,26.0,31.0,55.0,35.0,1018.4,1013.9,4.0,1.0,27.3,29.6,No,No
2010-03-04,Tuggeranong,11.3,26.0,0.0,,,E,33.0,,NE,0.0,15.0,87.0,46.0,1015.9,1012.1,,,14.2,24.7,No,No
2015-02-15,Canberra,13.8,29.3,2.0,,,E,39.0,S,WNW,7.0,9.0,93.0,41.0,1017.0,1014.3,7.0,1.0,15.8,25.6,Yes,No
2015-03-04,BadgerysCreek,19.0,30.8,0.0,,,ENE,20.0,SW,ESE,4.0,7.0,78.0,51.0,1013.6,1009.3,,,22.6,29.3,No,No
2014-11-18,SalmonGums,19.3,30.9,0.2,,,NW,67.0,N,NE,15.0,17.0,54.0,42.0,,,,,23.6,29.1,No,Yes
2010-02-16,Hobart,13.2,23.5,0.0,4.8,12.4,ESE,31.0,ESE,SE,7.0,19.0,71.0,54.0,1019.5,1018.0,1.0,2.0,18.9,23.0,No,No
2012-06-29,Canberra,2.7,14.5,0.0,0.8,2.3,NW,37.0,,NW,0.0,22.0,99.0,85.0,1016.2,1012.0,6.0,8.0,4.7,10.8,No,No
2016-12-21,Sydney,18.6,26.7,0.0,10.0,10.4,S,52.0,S,ESE,15.0,28.0,64.0,50.0,1012.3,1012.2,3.0,2.0,22.8,25.0,No,No
2010-05-26,Hobart,4.5,13.4,0.2,0.8,4.5,NNW,24.0,NNW,SE,7.0,7.0,90.0,74.0,1019.6,1018.7,7.0,6.0,7.3,12.0,No,No
2017-01-26,Katherine,24.0,35.0,1.8,5.2,,NW,28.0,N,W,13.0,7.0,72.0,,1009.5,1006.3,6.0,,30.0,,Yes,No
2010-07-28,Perth,12.4,18.8,2.6,0.4,6.5,NW,39.0,SW,W,11.0,7.0,77.0,66.0,1016.6,1014.8,7.0,6.0,14.4,16.3,Yes,Yes
2015-11-11,Tuggeranong,13.4,18.4,5.4,,,SE,20.0,SSW,SSE,11.0,7.0,77.0,84.0,1020.9,1020.0,,,15.1,16.6,Yes,Yes
2014-02-14,Bendigo,18.4,29.3,0.0,,,NNE,28.0,,ESE,0.0,2.0,51.0,30.0,1006.0,1002.7,,,23.0,28.6,No,Yes
2016-10-16,Townsville,20.4,30.3,0.0,8.0,,E,44.0,ESE,ENE,28.0,28.0,57.0,62.0,1017.1,1013.6,1.0,3.0,26.6,28.4,No,No
2015-12-18,Richmond,15.5,34.8,0.2,6.0,,ENE,37.0,N,NNE,7.0,11.0,75.0,27.0,1016.6,1012.3,,,21.9,33.6,No,No
2016-01-16,Brisbane,18.7,26.4,1.0,8.8,0.0,ESE,31.0,SSW,ESE,4.0,15.0,86.0,53.0,1021.1,1019.0,8.0,7.0,20.1,25.1,No,No
2016-06-21,Darwin,17.7,31.3,0.0,8.0,10.8,ESE,33.0,E,WSW,22.0,11.0,38.0,26.0,1012.4,1008.9,1.0,1.0,24.6,30.5,No,No
2014-05-10,Portland,11.5,17.9,2.4,1.6,5.3,NW,39.0,NNW,WNW,11.0,24.0,94.0,79.0,1017.1,1016.5,7.0,1.0,13.3,17.2,Yes,No
2013-05-08,Sale,4.1,22.1,0.0,0.4,9.2,E,17.0,WNW,E,9.0,13.0,82.0,43.0,1029.4,1025.8,1.0,2.0,9.9,21.1,No,No
2015-06-27,Mildura,-0.1,15.5,0.0,1.2,8.7,S,15.0,,NNE,0.0,6.0,99.0,56.0,1035.0,1032.3,1.0,1.0,3.6,15.1,No,No
2014-11-08,Bendigo,10.7,37.3,0.0,,,SW,57.0,ENE,NNW,11.0,26.0,30.0,6.0,1017.1,1011.5,,,22.9,35.8,No,No
2013-04-17,Nhil,6.6,20.8,0.0,,,SSW,35.0,SSE,S,6.0,20.0,68.0,30.0,1018.7,1016.3,,,11.5,19.9,No,No
2013-03-23,Moree,20.1,30.8,5.0,6.4,7.1,N,44.0,NNE,NNW,17.0,15.0,90.0,55.0,1018.0,1014.2,7.0,6.0,22.6,29.4,Yes,Yes
2011-05-10,PerthAirport,15.2,25.6,0.0,5.6,9.3,,,E,E,22.0,15.0,59.0,31.0,1029.4,1026.6,1.0,0.0,18.0,25.0,No,No
2009-01-22,Woomera,21.7,38.8,0.0,13.8,13.2,WSW,74.0,S,SSW,6.0,24.0,12.0,7.0,1005.6,1004.1,1.0,1.0,28.3,36.9,No,No
2011-07-17,Sale,-1.4,15.3,0.0,0.4,3.0,ENE,20.0,N,ESE,6.0,11.0,97.0,64.0,1022.0,1018.0,7.0,7.0,4.4,13.3,No,Yes
2015-12-04,Brisbane,17.3,25.6,0.2,10.0,4.2,SSE,33.0,S,SSE,9.0,11.0,52.0,56.0,1022.0,1019.8,7.0,7.0,23.8,24.0,No,No
2017-05-18,Woomera,11.3,20.7,0.6,1.4,,WNW,26.0,NW,WNW,11.0,13.0,91.0,58.0,1015.4,1014.1,1.0,2.0,14.3,19.8,No,No
2014-08-30,Portland,6.0,21.0,0.2,2.2,9.6,NNE,19.0,ENE,WSW,9.0,7.0,95.0,57.0,1024.8,1020.4,5.0,,9.6,19.4,No,No
2017-05-18,Launceston,4.8,19.5,0.0,,,SSE,28.0,ESE,SSE,6.0,11.0,95.0,48.0,,,5.0,,8.5,19.2,No,No
2011-02-19,Mildura,20.5,26.8,2.6,2.4,9.3,W,37.0,W,SW,22.0,19.0,85.0,56.0,1006.9,1008.5,7.0,5.0,21.3,26.1,Yes,No
2014-11-04,Watsonia,10.0,29.3,0.0,6.4,8.2,SW,56.0,NE,NNE,7.0,24.0,40.0,19.0,1016.9,1012.1,2.0,6.0,21.6,28.4,No,No
2008-04-04,Sydney,11.2,22.2,0.0,7.6,10.6,,,W,E,24.0,15.0,47.0,37.0,1020.8,1019.2,1.0,0.0,13.9,21.0,No,No
2011-03-23,NorahHead,19.8,30.8,0.2,,,SSW,26.0,WNW,WNW,13.0,7.0,69.0,46.0,1003.1,1000.7,,,22.7,29.9,No,No
2012-02-05,Albany,14.8,18.4,0.0,6.2,0.1,,,S,S,9.0,7.0,66.0,68.0,1022.5,1021.6,8.0,7.0,16.6,17.4,No,No
2009-11-22,Walpole,5.9,20.0,3.0,,,SSW,30.0,NE,S,9.0,17.0,69.0,71.0,1024.9,1022.4,,,15.1,19.5,Yes,No
2015-04-26,Perth,11.3,24.9,0.0,5.6,10.2,NE,30.0,E,E,9.0,11.0,50.0,29.0,1026.1,1022.4,0.0,0.0,17.0,24.6,No,No
2017-04-09,Nhil,8.9,14.9,2.2,,,SW,81.0,SW,SW,37.0,50.0,77.0,50.0,1012.2,1013.4,,,9.6,13.2,Yes,Yes
2013-12-29,SalmonGums,13.6,38.1,0.0,,,S,44.0,NNE,NNE,19.0,17.0,33.0,15.0,,,,,26.7,37.2,No,No
2009-04-29,Cairns,22.1,30.2,0.0,8.0,10.6,SE,48.0,SSE,ESE,20.0,30.0,64.0,52.0,1015.6,1012.0,5.0,1.0,26.3,29.1,No,No
2011-07-12,BadgerysCreek,-1.7,17.9,0.0,,,N,19.0,N,N,6.0,9.0,84.0,38.0,1022.6,1017.9,,,5.3,17.4,No,No
2015-05-11,Cairns,19.3,29.9,0.0,6.8,10.1,SE,35.0,S,ESE,13.0,22.0,67.0,55.0,1017.8,1014.4,2.0,2.0,25.1,28.7,No,No
2012-03-18,Melbourne,13.9,23.2,,4.4,11.6,SSE,35.0,S,SSE,7.0,22.0,78.0,45.0,1025.7,1023.6,,,16.7,22.3,,Yes
2014-09-08,MountGinini,0.1,9.4,0.0,,,NNW,43.0,N,NNW,7.0,13.0,98.0,60.0,,,,,3.3,8.7,No,No
2010-01-10,SalmonGums,18.3,28.7,0.2,,,SSW,50.0,S,S,26.0,31.0,75.0,42.0,,,,,19.6,25.8,No,No
2010-11-11,Cairns,22.8,32.2,0.0,7.4,10.5,NE,31.0,SE,E,15.0,22.0,63.0,55.0,1013.1,1009.0,5.0,3.0,29.6,30.9,No,No
2013-05-17,Albany,11.8,19.2,2.2,1.0,,,,NNW,W,17.0,15.0,81.0,90.0,1010.9,1012.2,3.0,8.0,14.7,16.1,Yes,Yes
2012-11-06,Perth,13.6,21.8,0.4,4.8,10.8,W,33.0,SW,WSW,19.0,15.0,81.0,48.0,1018.4,1017.7,7.0,3.0,15.6,20.6,No,No
2014-08-28,NorfolkIsland,17.2,21.7,3.4,1.2,9.6,N,28.0,N,NNE,11.0,15.0,85.0,79.0,1016.6,1015.1,2.0,3.0,18.9,20.0,Yes,Yes
2011-05-12,Walpole,8.3,18.5,0.6,,,ESE,24.0,NE,SE,11.0,13.0,75.0,64.0,1031.3,1028.4,,,14.0,16.8,No,No
2013-10-29,NorahHead,16.2,23.4,0.0,,,S,89.0,WNW,S,2.0,63.0,72.0,86.0,1006.3,1007.7,,,20.2,17.8,No,Yes
2009-06-19,PearceRAAF,14.0,16.1,19.4,,5.5,W,72.0,WNW,WSW,26.0,22.0,83.0,73.0,1005.5,1010.0,7.0,7.0,15.9,12.5,Yes,
2013-12-30,Launceston,5.0,20.4,0.0,,,WNW,43.0,,NNW,0.0,24.0,59.0,72.0,1013.2,1009.8,,,13.0,15.7,No,No
2011-10-09,CoffsHarbour,11.5,22.9,5.8,2.4,10.3,NNE,33.0,SSW,NE,6.0,20.0,74.0,59.0,1009.8,1005.1,3.0,5.0,19.1,22.2,Yes,No
2015-08-09,Walpole,5.7,13.8,19.6,,,SW,44.0,SW,W,6.0,15.0,78.0,51.0,1020.6,1018.4,,,8.0,12.3,Yes,Yes
2013-03-10,Cairns,23.4,30.4,4.2,5.4,5.7,SE,52.0,SSE,SSE,28.0,26.0,72.0,68.0,1010.4,1007.7,5.0,6.0,27.2,28.3,Yes,No
2016-10-12,Brisbane,16.6,24.5,0.0,8.0,8.2,E,26.0,ESE,ENE,7.0,11.0,53.0,53.0,1016.5,1012.4,7.0,3.0,21.0,22.6,No,No
2014-08-24,Perth,6.4,22.3,0.0,3.0,10.2,NW,24.0,WSW,W,7.0,13.0,70.0,51.0,1022.0,1020.8,7.0,3.0,14.1,21.3,No,No
2011-11-19,MountGinini,12.1,21.6,0.0,,,NW,46.0,NW,NW,19.0,20.0,81.0,61.0,,,,,15.7,19.3,No,Yes
2013-12-12,Mildura,10.7,28.2,0.0,8.0,13.5,W,46.0,SW,WSW,17.0,17.0,59.0,24.0,1015.8,1012.6,7.0,1.0,15.9,25.4,No,No
2015-10-07,MountGinini,12.2,17.3,0.0,,,W,37.0,WSW,ENE,11.0,13.0,29.0,94.0,,,,,15.8,9.3,No,No
2015-08-08,NorahHead,8.6,15.6,0.0,,,SSW,37.0,WSW,S,13.0,28.0,68.0,66.0,1023.9,1021.9,,,11.9,14.9,No,No
2011-09-11,Albany,7.0,22.6,0.0,2.2,10.7,,,WSW,N,4.0,9.0,83.0,43.0,1032.2,1026.8,1.0,0.0,11.7,22.0,No,No
2016-09-08,Witchcliffe,8.9,15.6,6.8,,,SW,48.0,SW,W,15.0,11.0,53.0,56.0,1023.4,1023.1,,,12.8,13.8,Yes,No
2009-12-24,Bendigo,24.9,32.2,0.0,12.0,,NNW,94.0,N,ENE,19.0,9.0,20.0,55.0,1003.3,1007.2,8.0,8.0,30.4,25.3,No,No
2013-10-13,Cairns,20.4,31.5,0.0,10.0,8.6,SSE,31.0,SSE,ENE,17.0,20.0,57.0,62.0,1015.2,1011.4,2.0,3.0,28.0,29.4,No,No
2009-11-30,Melbourne,14.0,20.8,10.6,4.6,10.3,S,52.0,SE,SSE,28.0,33.0,63.0,42.0,1014.9,1014.8,7.0,6.0,15.8,19.8,Yes,No
2010-10-25,CoffsHarbour,15.4,20.6,27.6,3.0,6.2,SSW,33.0,SW,SSE,13.0,20.0,94.0,73.0,1018.4,1016.8,8.0,4.0,16.1,20.0,Yes,Yes
2011-11-23,Wollongong,13.9,18.1,27.2,,,S,54.0,SW,S,15.0,39.0,93.0,92.0,1017.4,1020.9,8.0,8.0,14.3,15.8,Yes,Yes
2010-03-07,Sale,17.5,21.5,18.8,6.6,0.0,SE,37.0,SE,SSE,7.0,13.0,94.0,97.0,1014.5,1010.4,7.0,7.0,19.3,20.0,Yes,Yes
2015-10-07,Cobar,18.4,34.1,0.0,8.2,,S,35.0,S,S,15.0,15.0,39.0,17.0,1026.0,1023.9,1.0,4.0,21.6,33.1,No,No
2011-01-09,Townsville,25.3,31.1,3.0,7.0,8.6,SSW,69.0,E,ENE,9.0,30.0,75.0,68.0,1003.1,999.8,4.0,4.0,29.3,30.3,Yes,Yes
2013-12-01,Darwin,25.8,32.6,0.0,6.2,3.8,NE,37.0,SE,WNW,9.0,22.0,80.0,65.0,1009.6,1006.8,6.0,7.0,29.0,32.4,No,Yes
2016-02-17,Katherine,24.0,37.5,2.4,8.6,,SE,39.0,SSW,SW,9.0,9.0,76.0,,1010.3,1006.8,7.0,,26.5,,Yes,No
2014-06-17,Dartmoor,5.8,13.2,2.2,0.4,0.0,W,15.0,,WNW,0.0,4.0,100.0,92.0,1030.6,1030.7,,,8.8,12.9,Yes,No
2011-05-11,Dartmoor,6.7,13.0,14.6,1.2,0.6,WSW,44.0,,WSW,0.0,9.0,99.0,99.0,1014.0,1011.5,,,8.0,10.4,Yes,Yes
2013-08-15,Sale,5.2,15.4,4.2,3.4,8.5,WSW,72.0,WNW,WSW,13.0,26.0,85.0,54.0,1019.2,1018.1,7.0,2.0,8.3,15.1,Yes,No
2017-02-14,PearceRAAF,22.7,31.5,1.4,,11.0,WSW,35.0,SW,SW,7.0,19.0,75.0,56.0,1012.3,1012.0,7.0,,27.0,30.8,Yes,No
2014-02-28,Moree,20.5,29.5,0.8,,,ENE,37.0,NE,NNE,9.0,13.0,77.0,38.0,1018.1,1015.5,8.0,7.0,21.3,28.0,No,
2015-04-22,Sale,9.7,18.7,4.0,,,SSE,43.0,SSE,ESE,22.0,20.0,90.0,91.0,1025.8,1022.8,5.0,8.0,15.8,15.6,Yes,Yes
2011-03-23,Hobart,14.8,15.8,2.0,3.4,0.1,E,57.0,E,ESE,30.0,20.0,79.0,90.0,1012.1,1007.9,,,15.4,15.2,Yes,Yes
2011-05-15,Williamtown,4.7,18.5,0.0,15.0,,W,33.0,WNW,WNW,19.0,15.0,49.0,28.0,1029.0,1027.5,1.0,0.0,11.1,18.2,No,No
2013-11-09,Nhil,4.1,19.0,0.2,,,S,52.0,SSW,SSW,26.0,28.0,63.0,32.0,1018.7,1018.5,,,11.0,16.6,No,No
2016-09-24,Watsonia,8.7,19.2,0.0,3.4,7.9,N,46.0,NNE,NE,9.0,22.0,69.0,45.0,1010.0,1006.2,5.0,7.0,14.5,18.3,No,Yes
2014-08-19,Nhil,7.1,14.4,0.0,,,SSE,35.0,S,S,15.0,24.0,81.0,59.0,1024.8,1023.6,,,9.6,13.5,No,No
2015-04-21,Portland,11.4,15.6,0.0,1.4,5.2,SE,31.0,SSE,SE,17.0,17.0,65.0,64.0,1035.3,1032.1,8.0,8.0,13.9,14.5,No,No
2012-04-03,Canberra,7.7,26.3,0.0,2.6,8.4,NNW,30.0,S,NNW,6.0,15.0,84.0,45.0,1017.6,1014.1,4.0,1.0,14.4,25.9,No,No
2010-02-04,Moree,20.2,32.5,0.0,12.2,5.8,ENE,50.0,ENE,NNE,22.0,24.0,54.0,46.0,1010.2,1007.1,6.0,6.0,24.7,29.2,No,No
2016-02-05,Bendigo,15.0,31.9,0.0,,,SE,35.0,SE,SE,19.0,7.0,62.0,27.0,1018.5,1015.4,,,19.8,29.1,No,No
2011-08-27,Cobar,8.5,26.1,0.0,4.4,,SW,37.0,N,WSW,4.0,17.0,33.0,13.0,1021.3,1017.2,1.0,2.0,18.1,23.8,No,No
2009-01-02,Woomera,13.3,28.6,0.0,,,SE,52.0,SSE,SSE,30.0,19.0,46.0,13.0,1016.4,1014.4,,0.0,16.5,26.3,No,No
2013-07-26,SydneyAirport,7.8,20.9,0.0,3.4,9.3,SSW,35.0,NW,WNW,17.0,13.0,61.0,29.0,1025.7,1023.1,5.0,1.0,11.4,18.7,No,No
2009-10-31,Woomera,19.5,39.2,0.0,13.0,12.1,NNW,41.0,E,NW,15.0,9.0,40.0,13.0,1017.5,1014.5,2.0,5.0,26.7,37.5,No,No
2014-12-19,MountGambier,6.4,20.6,1.8,4.6,11.3,WSW,44.0,WSW,W,19.0,28.0,64.0,35.0,1019.1,1019.3,7.0,8.0,14.4,19.4,Yes,No
2014-01-03,Launceston,8.7,21.7,0.0,,,N,52.0,WNW,NNW,4.0,30.0,64.0,62.0,1001.3,995.0,,,16.5,19.2,No,No
2013-09-19,Penrith,13.8,23.6,0.0,,,NW,44.0,SW,NW,9.0,30.0,28.0,28.0,,,,,19.2,21.4,No,No
2013-05-07,Cobar,10.8,26.0,0.0,4.6,,ENE,31.0,ENE,NNE,20.0,13.0,54.0,39.0,1024.5,1021.3,3.0,2.0,16.0,24.4,No,No
2015-03-28,Brisbane,22.3,28.5,0.0,5.8,4.7,ENE,24.0,SSE,E,7.0,13.0,75.0,50.0,1020.9,1018.7,7.0,5.0,25.5,27.8,No,No
2011-12-02,SalmonGums,12.9,28.5,0.0,,,ESE,54.0,E,E,28.0,19.0,46.0,19.0,,,,,20.1,27.5,No,No
2009-10-31,Bendigo,14.3,33.2,1.4,3.2,,NW,54.0,ENE,N,15.0,15.0,61.0,31.0,1021.0,1017.6,1.0,2.0,22.9,32.5,Yes,Yes
2016-11-02,Adelaide,10.2,19.5,0.0,,,SW,28.0,WSW,W,11.0,11.0,54.0,43.0,1019.9,1019.6,,,14.6,18.5,No,No
2016-07-15,Townsville,11.3,17.3,31.6,4.6,,SW,43.0,SW,SSW,19.0,33.0,91.0,82.0,1017.0,1014.3,8.0,7.0,14.9,14.6,Yes,Yes
2011-10-20,BadgerysCreek,6.8,28.3,0.0,,,E,26.0,SSW,NNE,4.0,13.0,86.0,23.0,1028.2,1022.4,,,15.8,27.6,No,No
2013-03-13,Ballarat,17.9,22.5,0.0,,,NNE,44.0,WSW,SW,26.0,20.0,77.0,41.0,1009.5,1010.1,8.0,,18.0,21.7,No,No
2015-05-28,NorfolkIsland,14.1,19.9,0.2,2.8,7.8,WSW,31.0,SE,ESE,9.0,15.0,72.0,59.0,1023.7,1022.1,1.0,1.0,18.7,19.1,No,No
2012-01-18,NorahHead,20.5,26.1,1.2,,,ENE,26.0,SSW,SE,6.0,11.0,93.0,75.0,1017.8,1015.0,,,21.6,25.3,Yes,No
2015-10-07,SalmonGums,-1.3,22.6,0.0,,,ENE,43.0,NE,NE,26.0,22.0,43.0,25.0,,,,,14.5,22.1,No,No
2014-08-01,Katherine,17.2,34.0,0.0,7.4,,SE,35.0,ESE,SE,7.0,17.0,53.0,31.0,1016.4,1012.0,1.0,3.0,24.3,34.0,No,No
2009-09-30,MountGinini,-0.3,9.1,0.2,,,,,W,WNW,20.0,26.0,58.0,53.0,,,,,5.2,8.0,No,No
2011-10-14,NorahHead,16.8,19.2,0.0,,,NE,44.0,ENE,ENE,28.0,35.0,75.0,79.0,1020.4,1016.5,,,17.4,18.5,No,No
2012-03-01,Canberra,13.7,21.2,58.8,,0.0,NNW,65.0,W,NNW,6.0,37.0,98.0,93.0,1006.9,1001.1,8.0,8.0,15.2,20.7,Yes,Yes
2015-07-26,Watsonia,7.2,11.4,3.0,2.0,8.2,NNW,65.0,NW,WNW,15.0,17.0,66.0,80.0,1013.0,1016.1,1.0,1.0,8.4,7.7,Yes,No
2009-01-09,Woomera,15.8,33.3,0.0,15.6,13.5,SSE,41.0,ESE,SSW,28.0,9.0,28.0,11.0,1014.5,1011.3,1.0,0.0,21.5,30.9,No,No
2014-10-19,MountGinini,5.9,19.6,0.0,,,WSW,43.0,SW,W,7.0,11.0,34.0,47.0,,,,,13.4,18.3,No,No
2016-06-05,WaggaWagga,10.6,13.7,10.2,2.2,,WSW,37.0,W,W,7.0,15.0,94.0,91.0,1007.1,1002.7,8.0,8.0,11.3,13.4,Yes,Yes
2010-07-23,Bendigo,1.8,14.4,0.2,1.4,,SE,28.0,SE,,13.0,0.0,90.0,67.0,1035.4,1032.8,1.0,7.0,8.9,13.0,No,No
2009-02-03,BadgerysCreek,19.5,33.4,0.0,,,ESE,41.0,SSW,SE,7.0,26.0,67.0,42.0,1010.9,1009.6,,,24.1,29.3,No,No
2009-03-14,Brisbane,19.2,28.0,6.0,3.2,9.2,ENE,24.0,SSW,NE,7.0,11.0,73.0,60.0,1016.7,1013.1,5.0,4.0,24.1,27.4,Yes,Yes
2016-05-24,Wollongong,11.9,20.7,0.0,,,WSW,46.0,WSW,WSW,17.0,17.0,50.0,27.0,1017.6,1013.7,,,15.1,20.2,No,No
2015-02-01,Hobart,11.2,15.1,2.0,0.4,0.3,S,44.0,S,S,20.0,20.0,80.0,67.0,1014.6,1015.8,8.0,7.0,11.9,14.0,Yes,No
2009-11-09,Woomera,23.0,37.4,0.0,17.4,12.8,NNE,43.0,NE,ENE,31.0,15.0,24.0,15.0,1019.2,1016.2,0.0,1.0,30.3,35.3,No,No
2014-12-15,NorahHead,17.5,28.1,0.0,,,NNE,33.0,NE,ENE,6.0,19.0,70.0,60.0,1012.2,1011.1,,,23.2,25.5,No,No
2017-01-24,Watsonia,18.9,23.3,0.2,10.4,11.5,W,56.0,W,WSW,22.0,20.0,60.0,45.0,1012.3,1015.8,5.0,3.0,19.5,22.4,No,No
2015-05-12,WaggaWagga,11.0,14.9,0.6,1.2,0.6,WSW,48.0,NW,W,17.0,28.0,80.0,60.0,1016.4,1014.0,7.0,7.0,13.1,14.7,No,No
2009-03-09,MountGambier,9.2,23.6,0.0,4.0,11.2,S,43.0,SE,S,20.0,28.0,69.0,45.0,1021.8,1018.8,1.0,0.0,15.0,22.1,No,No
2010-12-03,Mildura,16.4,32.3,1.0,6.4,13.1,NNW,46.0,NNE,NNW,11.0,19.0,60.0,26.0,1010.9,1008.6,1.0,4.0,23.8,31.6,No,No
2011-09-12,Perth,6.4,24.7,0.0,3.8,11.1,NW,35.0,NNE,W,15.0,15.0,32.0,53.0,1022.7,1020.6,0.0,1.0,19.7,22.3,No,No
2014-01-03,Brisbane,22.7,34.5,1.0,8.6,11.2,NNE,35.0,NNE,NNE,4.0,15.0,55.0,57.0,1006.7,1001.7,2.0,2.0,30.6,32.0,No,No
2011-10-29,PerthAirport,11.7,25.2,0.0,7.8,12.7,E,74.0,ENE,ESE,33.0,20.0,46.0,30.0,1020.8,1016.9,1.0,1.0,17.6,24.0,No,No
2017-06-01,Melbourne,7.9,13.9,0.4,1.0,0.0,SSW,20.0,S,SSW,6.0,9.0,82.0,57.0,1037.5,1035.8,7.0,7.0,10.5,13.6,No,No
